age,gender,customer_type,travel_type,flight_class,flight_distance,departure_delay,arrival_delay,seat_comfort,inflight_wifi,food_and_drink,cleanliness,baggage_handling,checkin_service,onboard_service,satisfaction
56,Male,Returning,Business,Economy,3091,136,128,4,3,2,3,4,3,1,0
69,Female,First-time,Business,Economy,3632,3,93,4,1,4,5,3,3,2,1
46,Male,First-time,Personal,Economy,1003,88,55,1,1,4,2,3,3,3,0
32,Male,Returning,Personal,Economy,3120,176,172,3,4,1,2,2,2,4,0
60,Female,Returning,Personal,Economy,1359,133,192,1,1,3,4,5,2,1,0
25,Male,Returning,Personal,Economy,4474,81,2,2,5,2,3,1,3,3,1
38,Male,Returning,Personal,Economy,1598,20,21,4,3,2,4,1,4,2,1
56,Female,Returning,Business,Economy,1601,142,199,3,5,5,1,1,5,2,0
36,Male,First-time,Business,Economy,973,127,55,4,5,5,2,5,4,2,1
40,Female,Returning,Personal,Economy,2659,104,17,1,2,2,4,5,3,3,1
28,Female,First-time,Business,Economy,4599,103,152,1,4,3,2,1,5,1,0
28,Female,Returning,Business,Economy,4412,67,175,1,5,4,2,1,2,5,0
41,Female,Returning,Business,Business,4871,159,115,4,2,1,1,5,1,2,0
53,Female,Returning,Business,Economy,3882,109,83,3,3,4,2,1,1,1,0
57,Male,First-time,Personal,Economy,1316,156,158,3,3,1,4,5,5,4,1
41,Male,First-time,Business,Economy,509,65,29,2,2,3,3,4,4,4,1
20,Female,Returning,Personal,Economy,798,161,79,4,5,2,5,2,5,1,1
39,Female,First-time,Personal,Business,728,26,65,2,5,3,4,2,4,4,1
19,Male,Returning,Business,Economy,3939,59,9,2,4,2,1,5,4,4,1
41,Female,First-time,Personal,Business,3451,117,198,2,4,5,5,1,1,2,0
61,Female,Returning,Business,Business,2405,166,58,2,3,1,2,2,2,3,0
47,Female,Returning,Business,Economy,1853,43,50,1,4,5,4,3,3,3,1
55,Male,Returning,Business,Economy,3506,35,122,2,2,2,5,1,2,3,1
19,Male,Returning,Personal,Economy,2869,18,136,3,3,1,4,5,3,3,1
38,Female,First-time,Personal,Economy,2928,90,53,2,5,1,2,3,1,1,0
50,Female,First-time,Personal,Economy,2176,44,189,1,3,5,4,5,3,2,0
29,Male,Returning,Business,Economy,1367,148,80,5,1,1,1,1,4,1,0
39,Male,Returning,Business,Economy,1806,150,136,5,3,2,5,4,5,4,1
61,Female,Returning,Business,Economy,3313,154,8,5,4,2,5,4,3,2,1
42,Female,First-time,Personal,Economy,1967,97,100,4,2,5,5,4,2,5,1
66,Male,First-time,Business,Business,4888,18,151,3,5,3,4,1,1,3,0
44,Male,First-time,Business,Economy,4366,40,38,1,5,2,2,1,1,4,0
59,Male,Returning,Personal,Business,1247,25,135,5,4,2,4,3,5,3,1
45,Female,First-time,Personal,Economy,4689,27,152,1,4,1,4,1,4,3,1
33,Male,Returning,Personal,Economy,1471,63,109,1,4,1,5,1,4,3,1
32,Female,First-time,Business,Economy,471,67,65,4,1,2,2,3,1,5,1
64,Male,Returning,Business,Economy,4926,79,9,5,2,5,3,3,4,4,1
68,Male,Returning,Business,Economy,1443,50,116,2,1,3,2,5,5,3,1
61,Male,Returning,Personal,Economy,2159,101,151,1,4,1,4,2,1,3,0
69,Male,Returning,Personal,Business,2488,175,82,5,2,1,1,2,4,2,0
20,Female,Returning,Personal,Economy,2793,9,186,1,4,3,2,5,3,3,0
54,Female,Returning,Personal,Economy,3877,166,158,4,2,1,5,4,3,2,0
68,Male,Returning,Business,Business,488,99,138,4,5,5,1,1,4,4,0
24,Female,Returning,Business,Economy,4376,121,133,2,1,1,3,3,3,4,0
38,Male,Returning,Business,Economy,457,146,69,4,4,1,3,3,5,4,1
26,Male,First-time,Business,Economy,3017,63,159,5,4,2,1,4,2,2,0
56,Male,Returning,Business,Business,2270,123,38,4,3,5,3,3,5,5,1
35,Male,First-time,Business,Economy,545,18,175,2,5,5,1,4,5,5,1
21,Female,First-time,Business,Economy,3203,75,12,3,4,2,4,5,4,3,1
42,Male,Returning,Business,Economy,3095,61,58,1,1,4,1,4,5,4,1
31,Male,Returning,Personal,Business,4124,140,66,1,5,3,4,2,4,1,0
67,Female,Returning,Personal,Economy,2677,24,183,5,4,5,5,4,1,3,1
26,Male,Returning,Business,Business,1149,88,40,2,1,4,5,5,4,5,1
43,Male,Returning,Personal,Economy,2110,91,183,2,3,3,3,4,4,5,0
19,Male,Returning,Business,Business,4286,41,34,2,3,5,1,5,1,4,0
37,Female,First-time,Business,Economy,2426,116,165,1,1,1,4,2,2,2,0
45,Male,First-time,Personal,Economy,4564,38,80,4,5,5,5,1,1,3,1
64,Female,Returning,Business,Business,3330,157,194,1,1,3,5,5,4,2,0
24,Male,First-time,Business,Economy,2607,132,33,1,1,4,5,1,3,5,1
61,Male,First-time,Business,Economy,3376,80,75,1,3,1,3,5,4,4,1
25,Female,Returning,Business,Economy,2644,145,69,4,3,3,5,4,1,5,1
64,Male,Returning,Business,Economy,919,106,10,3,3,3,2,1,4,4,1
52,Male,Returning,Business,Economy,3202,110,111,5,4,5,3,5,1,1,0
31,Female,Returning,Business,Economy,2707,20,26,3,4,2,1,5,5,2,1
34,Female,Returning,Personal,Economy,4752,49,47,3,2,2,2,1,2,3,1
53,Female,First-time,Personal,Economy,3304,120,23,1,4,1,3,5,2,4,0
67,Female,First-time,Business,Economy,4214,133,17,3,5,3,3,1,1,1,0
57,Female,Returning,Personal,Economy,2786,49,26,1,5,4,4,2,2,1,0
21,Male,Returning,Business,Economy,3702,114,53,1,3,1,2,3,3,2,0
19,Female,Returning,Business,Economy,3896,0,54,5,1,1,2,2,3,4,1
23,Male,First-time,Business,Economy,1977,29,119,2,3,5,2,1,2,3,0
59,Male,Returning,Business,Business,4339,106,20,1,1,4,5,4,1,3,0
21,Male,Returning,Personal,Economy,1604,179,186,3,3,3,5,4,3,3,0
46,Female,Returning,Personal,Business,4393,164,114,5,3,3,1,3,2,5,0
35,Female,Returning,Personal,Business,2263,47,161,3,5,3,1,1,4,5,1
43,Male,Returning,Personal,Business,3607,86,119,2,1,1,1,5,3,4,0
61,Female,Returning,Business,Economy,1661,128,57,4,2,5,5,2,5,3,1
51,Female,Returning,Personal,Business,4594,18,175,2,2,1,4,2,3,1,0
27,Female,Returning,Business,Business,2087,45,53,5,3,2,1,3,2,3,1
53,Female,Returning,Business,Economy,1373,129,145,2,3,2,3,3,2,4,0
31,Male,Returning,Personal,Economy,1465,55,2,2,5,3,5,3,2,3,1
48,Male,Returning,Business,Economy,3899,144,151,5,1,5,4,3,1,2,0
65,Female,Returning,Personal,Economy,3017,91,128,5,3,3,3,3,1,3,0
32,Male,First-time,Personal,Economy,3453,81,5,3,2,3,3,3,4,1,1
25,Female,Returning,Personal,Economy,4426,78,18,1,1,1,5,5,4,4,1
31,Female,Returning,Personal,Economy,3355,149,85,4,3,3,2,5,3,4,0
40,Male,Returning,Personal,Economy,959,104,114,4,1,3,4,2,2,1,0
57,Male,Returning,Business,Economy,4942,26,170,4,5,5,5,2,4,4,1
38,Male,Returning,Personal,Economy,2882,54,122,2,2,5,2,3,2,3,0
33,Female,First-time,Personal,Business,1429,159,135,5,1,5,5,2,3,4,1
62,Male,Returning,Business,Economy,2574,59,196,5,2,3,5,3,1,3,1
35,Female,Returning,Personal,Economy,4766,108,179,5,3,5,3,5,4,4,1
64,Male,Returning,Personal,Economy,1768,155,72,1,4,5,5,4,5,3,1
41,Male,Returning,Business,Economy,2402,155,46,5,1,4,2,5,5,3,1
43,Female,Returning,Business,Economy,3566,119,84,5,2,4,3,1,5,1,1
42,Female,Returning,Personal,Business,2771,152,27,2,1,2,2,5,5,1,0
62,Female,First-time,Business,Economy,1451,84,45,3,3,1,2,1,5,5,1
58,Female,Returning,Personal,Business,392,85,131,4,3,1,3,2,5,1,1
46,Female,Returning,Business,Economy,2866,116,119,2,2,5,2,5,5,3,0
32,Female,Returning,Personal,Economy,1581,153,135,2,5,2,1,4,4,3,0
62,Female,Returning,Personal,Economy,3200,107,115,2,1,2,5,5,5,4,1
18,Female,Returning,Personal,Business,3099,74,60,4,1,4,3,5,5,4,1
42,Male,First-time,Business,Economy,3477,118,16,2,3,2,3,5,3,5,1
24,Female,Returning,Personal,Economy,4811,144,33,3,1,3,1,3,4,3,0
26,Female,Returning,Business,Business,2904,6,19,5,2,5,1,5,3,5,1
41,Male,Returning,Personal,Economy,4181,147,161,3,4,3,1,5,2,3,0
18,Female,Returning,Personal,Economy,2713,165,42,5,3,1,1,4,5,1,0
61,Male,First-time,Personal,Business,1844,74,9,5,4,4,4,1,1,4,1
25,Male,First-time,Personal,Economy,3830,57,93,2,1,3,3,1,5,5,1
41,Female,Returning,Personal,Economy,2946,15,157,2,5,5,2,4,5,2,0
